company_id,name,reason_bucket,reason,priority_tier,priority_score,industry,signal_count,signal_types
1112,Next Normal,buyer_opportunity_gate,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Food Service,2,news
1117,Sterilization Equipment,buyer_opportunity_gate,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Unknown,3,news
1118,Polokwane hospital - ITWeb,buyer_opportunity_gate,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Healthcare,1,strategic_hire
1122,Trailborn - Hospitality Net,buyer_opportunity_gate,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Healthcare,1,automation_interest
1124,Trailborn Hotels,buyer_opportunity_gate,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Hospitality,2,automation_interest
1126,Guadeloupe Airport - Identity Week,buyer_opportunity_gate,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Airports & Aviation,1,news
1128,SKY Aviation Lab,buyer_opportunity_gate,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Airports & Aviation,2,news
1131,Sydney Airport Trial Facial Recognition,buyer_opportunity_gate,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Airports & Aviation,1,news
1142,Kroger Evolves,buyer_opportunity_gate,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Retail,2,news
1146,Facilities as Part of Updated E-Commerce,buyer_opportunity_gate,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Logistics,2,expansion
1147,Urban Outfitters URBN Valuation Check,buyer_opportunity_gate,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Logistics,1,news
1151,E-commerce Logistics,buyer_opportunity_gate,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Logistics,3,news
1158,Grocery Micro-Fulfillment Centers MFCs,buyer_opportunity_gate,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Logistics,2,expansion
1183,Bass Pro Shops,buyer_opportunity_gate,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Unknown,2,news
1188,Warehouse Wow Factor Autonomous Mobile,buyer_opportunity_gate,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Logistics,2,automation_interest
1199,World Skiving Roller Burnishing Machine,buyer_opportunity_gate,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Unknown,1,news
1201,Global Semiconductor,buyer_opportunity_gate,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Automotive & Manufacturing,3,expansion
1204,Barclays IB WEF,buyer_opportunity_gate,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Unknown,1,automation_interest
1206,Copper Price News January,buyer_opportunity_gate,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Unknown,1,news
1226,Premium Properties Across India,buyer_opportunity_gate,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Unknown,1,news
1236,DOL Reduces Wages,buyer_opportunity_gate,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Unknown,1,news
1242,Global M&A,buyer_opportunity_gate,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Unknown,7,"expansion,news"
1245,Global Sports,buyer_opportunity_gate,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Unknown,1,news
1246,Epson's Shoptalk,buyer_opportunity_gate,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Unknown,3,automation_interest
1247,Fast Food Chains Put AI,buyer_opportunity_gate,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Food Service,2,expansion
1248,Buy Infinite Kitchen Tech,buyer_opportunity_gate,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Food Service,3,news
1249,Japan AI Culinary,buyer_opportunity_gate,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Unknown,1,strategic_hire
1252,Boston Logan Airport - Restaurant Dive,buyer_opportunity_gate,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Airports & Aviation,1,news
1253,Explore Top,buyer_opportunity_gate,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Hospitality,3,news
1261,EB-3 Unskilled Jobs,buyer_opportunity_gate,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Unknown,3,news
1264,Restaurant Payroll Percentage,buyer_opportunity_gate,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Food Service,3,news
1266,Hospitality Reenters,buyer_opportunity_gate,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Hospitality,3,expansion
1274,Logan Square Wicker Park Neighbors,buyer_opportunity_gate,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Logistics,2,automation_interest
1279,Chicago Residents Debate Expansion,buyer_opportunity_gate,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Logistics,1,automation_interest
1283,US Jobs,buyer_opportunity_gate,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Unknown,1,news
1286,End-of-Year Construction,buyer_opportunity_gate,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Unknown,3,news
1291,KPC Health,buyer_opportunity_gate,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Unknown,2,news
1293,Mercy Hospital,buyer_opportunity_gate,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Healthcare,2,news
1295,South Abington Twp,buyer_opportunity_gate,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Unknown,1,news
1297,Uptown Houston,buyer_opportunity_gate,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Healthcare,1,news
1304,Orchard Path,buyer_opportunity_gate,"buyer opportunity gate: no buyer-intent signal found (labor, expansion, capex, RFP, deployment, or operations hiring)",COLD,0.0,Unknown,1,news
